kode_pum,kode_bps,nama,file_logo
11.01,1103,Aceh Selatan,kab-h250px-1101.jpg
11.02,1104,Aceh Tenggara,kab-h250px-1102.jpg
11.03,1105,Aceh Timur,kab-h250px-1103.jpg
11.04,1106,Aceh Tengah,kab-h250px-1104.png
11.05,1107,Aceh Barat,kab-h250px-1105.jpg
11.06,1108,Aceh Besar,kab-h250px-1106.jpg
11.07,1109,Pidie,kab-h250px-1107.jpg
11.08,1111,Aceh Utara,kab-h250px-1108.jpg
11.09,1101,Simeulue,kab-h250px-1109.jpg
11.10,1102,Aceh Singkil,kab-h250px-1110.jpg
11.11,1110,Bireuen,kab-h250px-1111.jpg
11.12,1112,Aceh Barat Daya,kab-h250px-1112.jpg
11.13,1113,Gayo Lues,kab-h250px-1113.jpg
11.14,1116,Aceh Jaya,kab-h250px-1114.jpg
11.15,1115,Nagan Raya,kab-h250px-1115.jpg
11.16,1114,Aceh Tamiang,kab-h250px-1116.jpg
11.17,1117,Bener Meriah,kab-h250px-1117.jpg
11.18,1118,Pidie Jaya,kab-h250px-1118.jpg
11.71,1171,Banda Aceh,kab-h250px-1171.jpg
11.72,1172,Sabang,kab-h250px-1172.jpg
11.73,1174,Lhokseumawe,kab-h250px-1173.jpg
11.74,1173,Langsa,kab-h250px-1174.jpg
11.75,1175,Subulussalam,kab-h250px-1175.jpg
12.01,1204,Tapanuli Tengah,kab-h250px-1201.jpg
12.02,1205,Tapanuli Utara,kab-h250px-1202.jpg
12.03,1203,Tapanuli Selatan,kab-h250px-1203.jpg
12.04,1201,Nias,kab-h250px-1204.jpg
12.05,1213,Langkat,kab-h250px-1205.jpg
12.06,1211,Karo,kab-h250px-1206.jpg
12.07,1212,Deli Serdang,kab-h250px-1207.jpg
12.08,1209,Simalungun,kab-h250px-1208.jpg
12.09,1208,Asahan,kab-h250px-1209.jpg
12.10,1207,Labuhanbatu,kab-h250px-1210.jpg
12.11,1210,Dairi,kab-h250px-1211.jpg
12.12,1206,Toba,kab-h250px-1212.jpg
12.13,1202,Mandailing Natal,kab-h250px-1213.png
12.14,1214,Nias Selatan,kab-h250px-1214.jpg
12.15,1216,Pakpak Bharat,kab-h250px-1215.jpg
12.16,1215,Humbang Hasundutan,kab-h250px-1216.jpg
12.17,1217,Samosir,kab-h250px-1217.jpg
12.18,1218,Serdang Bedagai,kab-h250px-1218.jpg
12.19,1219,Batu Bara,kab-h250px-1219.jpg
12.20,1220,Padang Lawas Utara,kab-h250px-1220.jpg
12.21,1221,Padang Lawas,kab-h250px-1221.jpg
12.22,1222,Labuhanbatu Selatan,kab-h250px-1222.jpg
12.23,1223,Labuhanbatu Utara,kab-h250px-1223.jpg
12.24,1224,Nias Utara,kab-h250px-1224.jpg
12.25,1225,Nias Barat,kab-h250px-1225.jpg
12.71,1275,Medan,kab-h250px-1271.jpg
12.72,1273,Pematangsiantar,kab-h250px-1272.jpg
12.73,1271,Sibolga,kab-h250px-1273.jpg
12.74,1272,Tanjungbalai,kab-h250px-1274.jpg
12.75,1276,Binjai,kab-h250px-1275.jpg
12.76,1274,Tebing Tinggi,kab-h250px-1276.jpg
12.77,1277,Padangsidimpuan,kab-h250px-1277.jpg
12.78,1278,Gunungsitoli,kab-h250px-1278.jpg
13.01,1302,Pesisir Selatan,kab-h250px-1301.jpg
13.02,1303,Solok,kab-h250px-1302.jpg
13.03,1304,Sijunjung,kab-h250px-1303.jpg
13.04,1305,Tanah Datar,kab-h250px-1304.jpg
13.05,1306,Padang Pariaman,kab-h250px-1305.jpg
13.06,1307,Agam,kab-h250px-1306.jpg
13.07,1308,Lima Puluh Kota,kab-h250px-1307.jpg
13.08,1309,Pasaman,kab-h250px-1308.jpg
13.09,1301,Kepulauan Mentawai,kab-h250px-1309.jpg
13.10,1311,Dharmasraya,kab-h250px-1310.jpg
13.11,1310,Solok Selatan,kab-h250px-1311.jpg
13.12,1312,Pasaman Barat,kab-h250px-1312.jpg
13.71,1371,Padang,kab-h250px-1371.jpg
13.72,1372,Solok,kab-h250px-1372.jpg
13.73,1373,Sawahlunto,kab-h250px-1373.jpg
13.74,1374,Padang Panjang,kab-h250px-1374.jpg
13.75,1375,Bukittinggi,kab-h250px-1375.jpg
13.76,1376,Payakumbuh,kab-h250px-1376.jpg
13.77,1377,Pariaman,kab-h250px-1377.jpg
14.01,1406,Kampar,kab-h250px-1401.jpg
14.02,1402,Indragiri Hulu,kab-h250px-1402.jpg
14.03,1408,Bengkalis,kab-h250px-1403.jpg
14.04,1403,Indragiri Hilir,kab-h250px-1404.jpg
14.05,1404,Pelalawan,kab-h250px-1405.jpg
14.06,1407,Rokan Hulu,kab-h250px-1406.jpg
14.07,1409,Rokan Hilir,kab-h250px-1407.jpg
14.08,1405,Siak,kab-h250px-1408.jpg
14.09,1401,Kuantan Singingi,kab-h250px-1409.jpg
14.10,1410,Kepulauan Meranti,kab-h250px-1410.jpg
14.71,1471,Pekanbaru,kab-h250px-1471.jpg
14.72,1473,Dumai,kab-h250px-1472.jpg
15.01,1501,Kerinci,kab-h250px-1501.jpg
15.02,1502,Merangin,kab-h250px-1502.jpg
15.03,1503,Sarolangun,kab-h250px-1503.jpg
15.04,1504,Batang Hari,kab-h250px-1504.jpg
15.05,1505,Muaro Jambi,kab-h250px-1505.jpg
15.06,1507,Tanjung Jabung Barat,kab-h250px-1506.jpg
15.07,1506,Tanjung Jabung Timur,kab-h250px-1507.jpg
15.08,1509,Bungo,kab-h250px-1508.jpg
15.09,1508,Tebo,kab-h250px-1509.jpg
15.71,1571,Jambi,kab-h250px-1571.jpg
15.72,1572,Sungai Penuh,kab-h250px-1572.jpg
16.01,1601,Ogan Komering Ulu,kab-h250px-1601.jpg
16.02,1602,Ogan Komering Ilir,kab-h250px-1602.jpg
16.03,1603,Muara Enim,kab-h250px-1603.jpg
16.04,1604,Lahat,kab-h250px-1604.jpg
16.05,1605,Musi Rawas,kab-h250px-1605.jpg
16.06,1606,Musi Banyuasin,kab-h250px-1606.jpg
16.07,1607,Banyuasin,kab-h250px-1607.jpg
16.08,1609,Ogan Komering Ulu Timur,kab-h250px-1608.jpg
16.09,1608,Ogan Komering Ulu Selatan,kab-h250px-1609.jpg
16.10,1610,Ogan Ilir,kab-h250px-1610.jpg
16.11,1611,Empat Lawang,kab-h250px-1611.jpg
16.12,1612,Penukal Abab Lematang Ilir,kab-h250px-1612.jpg
16.13,1613,Musi Rawas Utara,kab-h250px-1613.jpg
16.71,1671,Palembang,kab-h250px-1671.jpg
16.72,1673,Pagar Alam,kab-h250px-1672.jpg
16.73,1674,Lubuklinggau,kab-h250px-1673.jpg
16.74,1672,Prabumulih,kab-h250px-1674.jpg
17.01,1701,Bengkulu Selatan,kab-h250px-1701.jpg
17.02,1702,Rejang Lebong,kab-h250px-1702.jpg
17.03,1703,Bengkulu Utara,kab-h250px-1703.jpg
17.04,1704,Kaur,kab-h250px-1704.jpg
17.05,1705,Seluma,kab-h250px-1705.jpg
17.06,1706,Mukomuko,kab-h250px-1706.jpg
17.07,1707,Lebong,kab-h250px-1707.jpg
17.08,1708,Kepahiang,kab-h250px-1708.jpg
17.09,1709,Bengkulu Tengah,kab-h250px-1709.jpg
17.71,1771,Bengkulu,kab-h250px-1771.jpg
18.01,1803,Lampung Selatan,kab-h250px-1801.jpg
18.02,1805,Lampung Tengah,kab-h250px-1802.jpg
18.03,1806,Lampung Utara,kab-h250px-1803.jpg
18.04,1801,Lampung Barat,kab-h250px-1804.jpg
18.05,1808,Tulang Bawang,kab-h250px-1805.jpg
18.06,1802,Tanggamus,kab-h250px-1806.jpg
18.07,1804,Lampung Timur,kab-h250px-1807.jpg
18.08,1807,Way Kanan,kab-h250px-1808.jpg
18.09,1809,Pesawaran,kab-h250px-1809.jpg
18.10,1810,Pringsewu,kab-h250px-1810.jpg
18.11,1811,Mesuji,kab-h250px-1811.jpg
18.12,1812,Tulang Bawang Barat,kab-h250px-1812.jpg
18.13,1813,Pesisir Barat,kab-h250px-1813.jpg
18.71,1871,Bandar Lampung,kab-h250px-1871.jpg
18.72,1872,Metro,kab-h250px-1872.jpg
19.01,1901,Bangka,kab-h250px-1901.jpg
19.02,1902,Belitung,kab-h250px-1902.jpg
19.03,1905,Bangka Selatan,kab-h250px-1903.jpg
19.04,1904,Bangka Tengah,kab-h250px-1904.jpg
19.05,1903,Bangka Barat,kab-h250px-1905.jpg
19.06,1906,Belitung Timur,kab-h250px-1906.jpg
19.71,1971,Pangkal Pinang,kab-h250px-1971.jpg
21.01,2102,Bintan,kab-h250px-2101.jpg
21.02,2101,Karimun,kab-h250px-2102.jpg
21.03,2103,Natuna,kab-h250px-2103.jpg
21.04,2104,Lingga,kab-h250px-2104.jpg
21.05,2105,Kepulauan Anambas,kab-h250px-2105.jpg
21.71,2171,Batam,kab-h250px-2171.jpg
21.72,2172,Tanjung Pinang,kab-h250px-2172.jpg
31.01,3101,Kepulauan Seribu,kab-h250px-3101.jpg
31.71,3173,Jakarta Pusat,kab-h250px-3171.jpg
31.72,3175,Jakarta Utara,kab-h250px-3172.jpg
31.73,3174,Jakarta Barat,kab-h250px-3173.jpg
31.74,3171,Jakarta Selatan,kab-h250px-3174.jpg
31.75,3172,Jakarta Timur,kab-h250px-3175.jpg
32.01,3201,Bogor,kab-h250px-3201.jpg
32.02,3202,Sukabumi,kab-h250px-3202.jpg
32.03,3203,Cianjur,kab-h250px-3203.jpg
32.04,3204,Bandung,kab-h250px-3204.jpg
32.05,3205,Garut,kab-h250px-3205.jpg
32.06,3206,Tasikmalaya,kab-h250px-3206.jpg
32.07,3207,Ciamis,kab-h250px-3207.jpg
32.08,3208,Kuningan,kab-h250px-3208.jpg
32.09,3209,Cirebon,kab-h250px-3209.jpg
32.10,3210,Majalengka,kab-h250px-3210.jpg
32.11,3211,Sumedang,kab-h250px-3211.jpg
32.12,3212,Indramayu,kab-h250px-3212.jpg
32.13,3213,Subang,kab-h250px-3213.jpg
32.14,3214,Purwakarta,kab-h250px-3214.jpg
32.15,3215,Karawang,kab-h250px-3215.jpg
32.16,3216,Bekasi,kab-h250px-3216.jpg
32.17,3217,Bandung Barat,kab-h250px-3217.jpg
32.18,3218,Pangandaran,kab-h250px-3218.jpg
32.71,3271,Bogor,kab-h250px-3271.jpg
32.72,3272,Sukabumi,kab-h250px-3272.jpg
32.73,3273,Bandung,kab-h250px-3273.jpg
32.74,3274,Cirebon,kab-h250px-3274.jpg
32.75,3275,Bekasi,kab-h250px-3275.jpg
32.76,3276,Depok,kab-h250px-3276.jpg
32.77,3277,Cimahi,kab-h250px-3277.jpg
32.78,3278,Tasikmalaya,kab-h250px-3278.jpg
32.79,3279,Banjar,kab-h250px-3279.jpg
33.01,3301,Cilacap,kab-h250px-3301.jpg
33.02,3302,Banyumas,kab-h250px-3302.jpg
33.03,3303,Purbalingga,kab-h250px-3303.jpg
33.04,3304,Banjarnegara,kab-h250px-3304.jpg
33.05,3305,Kebumen,kab-h250px-3305.jpg
33.06,3306,Purworejo,kab-h250px-3306.jpg
33.07,3307,Wonosobo,kab-h250px-3307.jpg
33.08,3308,Magelang,kab-h250px-3308.jpg
33.09,3309,Boyolali,kab-h250px-3309.jpg
33.10,3310,Klaten,kab-h250px-3310.jpg
33.11,3311,Sukoharjo,kab-h250px-3311.jpg
33.12,3312,Wonogiri,kab-h250px-3312.jpg
33.13,3313,Karanganyar,kab-h250px-3313.jpg
33.14,3314,Sragen,kab-h250px-3314.jpg
33.15,3315,Grobogan,kab-h250px-3315.jpg
33.16,3316,Blora,kab-h250px-3316.jpg
33.17,3317,Rembang,kab-h250px-3317.jpg
33.18,3318,Pati,kab-h250px-3318.jpg
33.19,3319,Kudus,kab-h250px-3319.jpg
33.20,3320,Jepara,kab-h250px-3320.jpg
33.21,3321,Demak,kab-h250px-3321.jpg
33.22,3322,Semarang,kab-h250px-3322.jpg
33.23,3323,Temanggung,kab-h250px-3323.jpg
33.24,3324,Kendal,kab-h250px-3324.jpg
33.25,3325,Batang,kab-h250px-3325.jpg
33.26,3326,Pekalongan,kab-h250px-3326.jpg
33.27,3327,Pemalang,kab-h250px-3327.jpg
33.28,3328,Tegal,kab-h250px-3328.jpg
33.29,3329,Brebes,kab-h250px-3329.jpg
33.71,3371,Magelang,kab-h250px-3371.jpg
33.72,3372,Surakarta,kab-h250px-3372.jpg
33.73,3373,Salatiga,kab-h250px-3373.jpg
33.74,3374,Semarang,kab-h250px-3374.jpg
33.75,3375,Pekalongan,kab-h250px-3375.jpg
33.76,3376,Tegal,kab-h250px-3376.jpg
34.01,3401,Kulon Progo,kab-h250px-3401.jpg
34.02,3402,Bantul,kab-h250px-3402.jpg
34.03,3403,Gunungkidul,kab-h250px-3403.jpg
34.04,3404,Sleman,kab-h250px-3404.jpg
34.71,3471,Yogyakarta,kab-h250px-3471.jpg
35.01,3501,Pacitan,kab-h250px-3501.jpg
35.02,3502,Ponorogo,kab-h250px-3502.jpg
35.03,3503,Trenggalek,kab-h250px-3503.jpg
35.04,3504,Tulungagung,kab-h250px-3504.jpg
35.05,3505,Blitar,kab-h250px-3505.jpg
35.06,3506,Kediri,kab-h250px-3506.jpg
35.07,3507,Malang,kab-h250px-3507.jpg
35.08,3508,Lumajang,kab-h250px-3508.jpg
35.09,3509,Jember,kab-h250px-3509.jpg
35.10,3510,Banyuwangi,kab-h250px-3510.jpg
35.11,3511,Bondowoso,kab-h250px-3511.jpg
35.12,3512,Situbondo,kab-h250px-3512.jpg
35.13,3513,Probolinggo,kab-h250px-3513.jpg
35.14,3514,Pasuruan,kab-h250px-3514.jpg
35.15,3515,Sidoarjo,kab-h250px-3515.jpg
35.16,3516,Mojokerto,kab-h250px-3516.jpg
35.17,3517,Jombang,kab-h250px-3517.jpg
35.18,3518,Nganjuk,kab-h250px-3518.jpg
35.19,3519,Madiun,kab-h250px-3519.jpg
35.20,3520,Magetan,kab-h250px-3520.jpg
35.21,3521,Ngawi,kab-h250px-3521.jpg
35.22,3522,Bojonegoro,kab-h250px-3522.jpg
35.23,3523,Tuban,kab-h250px-3523.jpg
35.24,3524,Lamongan,kab-h250px-3524.jpg
35.25,3525,Gresik,kab-h250px-3525.jpg
